Company_Brand,Sector,Stage,Amount,HeadQuarter,What_it_does,year_founded,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,Unknown
Happy Cow Dairy,"Agriculture, Farming",Seed,560000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,Unknown
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,910000.0,Gurgaon,Leading Online Loans Marketplace in India,2018,Unknown
PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,Unknown
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,Unknown
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,Unknown
Tripshelf,"Internet, Leisure, Marketplace",Seed,224000.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,Unknown
Hyperdata.IO,Market Research,Angel,700000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,Unknown
Freightwalla,"Information Services, Information Technology",Seed,,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,Unknown
Microchip Payments,Mobile Payments,Seed,,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,Unknown
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,,Delhi,Building Transactionary B2B Marketplaces,2018,Unknown
Emojifi,Internet,Seed,,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,Axilor
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,Unknown
Freshboxx,Food Delivery,Seed,,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,"Kora, Tiger Global Management"
Wide Mobility Mechatronics,Industrial Automation,Seed,,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,Ascent Capital
Pitstop,"Automotive, Search Engine, Service Industry",Seed,1400000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,Unknown
Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,Unknown
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,2018,Unknown
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,Unknown
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,7000.0,Chennai,Waste Management for Smart Cities,2018,Unknown
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,Unknown
PaisaDukan,Finance,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018,"3one4 Capital, Kalaari Capital"
Sleepy Owl Coffee,Food and Beverage,Seed,490000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,Unknown
BlueJack,Autonomous Vehicles,Seed,896000.0,Delhi,Delhi-based online used vehicles marketplace.,2018,Unknown
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,2018,Unknown
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,Unknown
Pando,"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,Unknown
Mintifi,"Financial Services, Lending",Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018,Unknown
Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,Unknown
NicheAI,AI,Angel,,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,Alpha Wave incubation
Chariot Tech,"Internet of Things, Telecommunications",Seed,280000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,Unknown
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,"9Unicorns, ZNL"
Loanzen,Finance,Seed,,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,"3one4 Capital, Kalaari Capital"
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,Unknown
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,Unknown
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,Bangalore,LoadShare is India’s fastest growing logistics company,2018,Unknown
